artist,album,track,uri
Hamza,Sincèrement,Codéine 19,spotify:track:3Q8qW4OUBQWLZaNLR9TxFr
Phoebe Bridgers,Stranger in the Alps,Motion Sickness,spotify:track:25Syi9wnfn6ZGAmiOBypPq
Alvaro Diaz,SAYONARA,GATITAS SANDUNGUERAS - VOL.1,spotify:track:6BpZpCM8d8FJnVnr1IbnFL
Nimco Happy,"Geeri Doonte Maanta Aan Go,o","Geeri Doonte Maanta Aan Go,o",spotify:track:4c8ROJi7fzgYfqJlAM5kJL
mikeeysmind,Molly,Molly,spotify:track:5aanvdCyGuKOf48It66i61
The Neighbourhood,Wiped Out!,Daddy Issues,spotify:track:5E30LdtzQTGqRvNd7l6kG5
Rihanna,ANTI,Work,spotify:track:72TFWvU3wUYdUuxejTTIzt
The Neighbourhood,I Love You.,Sweater Weather,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6
Filthy Blondes,Filthy Blondes,Berlin,spotify:track:4jKelCJZCWqEFlKnfHMuBM
One True God,Devotion,Devotion,spotify:track:6UxamX8NLRrQzIb17xQ7vW
Vundabar,Gawk,Alien Blues,spotify:track:11iIikXxC6NP0Ma8vMD27x
cupcakKe,Cum Cake,Deepthroat,spotify:track:5cXtT63OTadsjqfRkm5Dwd
Aminé,Squeeze,Squeeze,spotify:track:7faL4ndjhVRRX2avbPxLzg
Akalé Wubé,Sost,Ashewa,spotify:track:7e0qpb6qxcKNhwW8T1373u
Slayyyter,Daddy AF,Daddy AF,spotify:track:5Pj9iXYfe607U62YwSF5rC
Sababa 5,Kokoro,Nasnusa,spotify:track:4uAdIp8jiEhlEO6Go6A9as
Dua Lipa,Dance The Night (From Barbie The Album),Dance The Night - From Barbie The Album,spotify:track:1vYXt7VSjH9JIM5oRRo7vA
"Tyler, The Creator",Cherry Bomb + Instrumentals,FIND YOUR WINGS - Instrumental,spotify:track:3xLUgT2u1LGSFAI1hFSNJz
Akalé Wubé,Sost,Kidus à cent dix,spotify:track:5eHUFHBBKc9xgtRHumyNKD
Cassie,Cassie,Me & U,spotify:track:7k6IzwMGpxnRghE7YosnXT
Still Woozy,Rocky,Rocky,spotify:track:5uDohC8URXwbGiHAMuKGoa
Abhi The Nomad,Marbled,Sex n' Drugs,spotify:track:0MwMwvl0IVPgLAeXyeVBi1
Mar Porter,WHAAT!,You & Me,spotify:track:5Nvm9h5Y8XXpmUKnzLsRGU
Kali Uchis,Por Vida,Lottery,spotify:track:4atsB8EjUKY1kWg8KVag9h
Wallows,A Warning,A Warning,spotify:track:2Ir5eVuUM96WvyyZmDTIBX
Anass Marbouh,Love NwanTiti,Love NwanTiti - Slowed,spotify:track:7pOeP12EVxNMG55hhgpynP
Juniore,Marabout,Mon autre,spotify:track:1NKZvJ6bx9YjW3CL26eIBE
Filthy Blondes,Filthy Blondes,Denied from College / Instagram Celebrity,spotify:track:18qXgQpgEMibcyk4rVpDS4
Duckwrth,Crush,Crush,spotify:track:3aUviSdBVbsdmH406j5GZC
Zara Larsson,So Good,Lush Life,spotify:track:1rIKgCH4H52lrvDcz50hS8
TEMPOREX,Care,Nice Boys,spotify:track:5H2WmzaijYOGTHeHdM3w9P
Emily James,The aFtErMaTh,Song for Bryan,spotify:track:1Zz2KQlUM095ZSgtIYTJsm
Filthy Blondes,Filthy Blondes,Window,spotify:track:4UgvOatLAolWisD3Ekwv7E
Mac Miller,K.I.D.S.,The Spins,spotify:track:7FAFkQQZFeNwOFzTrSDFIh
Nafeesisboujee,spin u round,spin u round,spotify:track:1pBm0kI4Z31jUYIwb9m8tK
SZA,SOS Deluxe: LANA,BMF,spotify:track:3U3hFkMr0Q90pD24EkE3Pr
PinkPantheress,to hell with it,I Must Apologise,spotify:track:2rrq3SGYxk90xLx5fMmPhZ
Joey Bada$$,Love Is Only a Feeling,Love Is Only a Feeling,spotify:track:7umZiitjVsEjMQ6HNddpUI
Mr Pilato,"Biri Marung (Edit) (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)","Biri Marung (Edit) (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",spotify:track:44Z9yOoNfCafT8nPZCimMs
